福爾摩莎北驛旅館,Formosa 101 Taipei Main Branch,中正區漢口街1段45號2、4樓及47號2樓,"2、4F., No. 45、47, Sec. 1, Hankou St., Zhongzheng Dist.",02-23816089,41
二十輪旅店,SWIIO HOTEL,萬華區武昌街二段72號5樓、6樓、10樓,"5.6.10F., No.72, Sec. 2, Wuchang St., Wanhua Dist.",02-23810500,48
鉑泊客2館,POSHPACKER HOTEL,中正區重慶南路1段37號,"1-5F, No.50, Sec.1 , Hankou St., Zhongzheng Dist.",02-23755555,44
藝築文旅台北站前館,Artinn,中正區襄陽路8號3至11樓,"3-11F.,No.8,Xiangyang Rd.,Zhongaheng Dist.",02-23820150,90
華達大飯店,Huada Hotel,中正區重慶南路一段1號6樓,"6F., No.1, Sec. 1, Chongqing S. Rd., Zhongzheng Dist.",02-23110212,14
世方旅居文旅,Hub Hotel - Taipei Songshan Airport,"中山區松江路485號1至5樓,5樓之1-3,6-7樓,7樓之1-5","Song Jiang Road, No.485",02-25025000,121
漾館溫泉商旅,Aqua Bella Hotel,北投區溫泉路63號1-4樓,"1-4F., No.63, Wuncyuan Rd., Beitou District",02-28911118,31
第一大飯店,First Hotel,中山區南京東路2段63號,"No.63, Sec. 2, Nanjing E. Rd., Zhongshan Dist.",02-25418234,176
萬事達旅店(中華店),Wonstar Hotel,萬華區中華路一段82號1-9樓,"1-9F., No.82, Sec. 1, Zhonghua Rd., Wanhua Dist.",02-23820889,56
仙渡莊旅社,XIAN DU ZUANG HOTEL,北投區大度路三段304號,"No.304, Sec. 3, Dadu Rd., Beitou District",02-28913537,14
城市商旅德立莊分館,hotel midtown richardson,中正區秀山街4號5-12樓、15樓；衡陽路99號5-12樓、15樓；延平南路110號5-11樓、15樓,"5F-12F,15F.,No4, Xiushan St.,; 5F-12F,15F., No.99, Hengyang Rd., ; 5F-11F,15F., No.110, Yanping S. R",02-23757777,535
沃客商旅-西門館,Walker Hotel.Ximen,萬華區中華路一段144號10樓,"10F., No.144, Sec. 1, Zhonghua Rd., Wanhua Dist.",02-23812633,23
太平洋商旅,PACIFIC BUSINESS Hotel,"信義區光復南路495號11樓之2及13,16,17,19樓","11F.-2, No.495, Guangfu S. Rd., Xinyi Dist.",02-87808000,48
漫步1948,Meander 1948,大同區太原路40、42、44號(1至4樓),"No.42, Taiyuan Rd., Datong Dist.",02-25588812,24
謙商旅(谷墨商旅-師大館),Goodmore Hotel,大安區和平東路一段145號2至4樓、147 號5至6樓、6樓之1、6樓之2,"No.147, Sec. 1, Heping E. Rd., Da’an Dist.",02-23955535,92
一等好旅店,GOOD HOTEL,"松山區八德路四段624巷2號B1-1樓,4號2-6樓","No.2, Ln. 624, Sec. 4, Bade Rd., Songshan Dist.",02-27609255,32
維多麗亞酒店,GRAND VICTORIA HOTEL,中山區敬業四路168號,"5-10F., No.168, Jingye 4th Rd., Zhongshan Dist.",02-85020007,96
復新文旅,Forever Inn,"中山區復興北路282號3,6樓","3、6F., No.282, Fuxing N. Rd., Zhongshan Dist.",02-77337959,19
配普特行旅,plain stay hostel,大同區鄭州路21巷4號(1樓至3樓),"No. 4, Ln. 21, Zhengzhou Rd., Datong Dist.",02-25583669,9
囍閱文創旅店,Hotel attic,萬華區長沙街二段11號10樓,"10F., No.11, Sec. 2, Changsha St., Wanhua Dist.",02-23886235,20
皇家玫瑰旅館西門館,Royal Rose Hotel Ximen,萬華區西寧南路63之1號,"No.63-1, Xining S. Rd., Wanhua Dist.",02-23819333,7
洛碁大飯店花華分館,Green World Flora Annex,中正區漢口街一段36號1-8樓及地下室,"No.36, Sec. 1, Hankou St., Zhongzheng Dist.",02-23123811,56
大光瀛商旅,Twin Star Inn,中正區忠孝西路1段50號地下3層,"B3., No. 50, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist.",02-23705590,49
瑞絲逸旅店,The rooms Inn,中山區林森北路96號2樓之1、之2,"2F.-1,-2, No. 96, Linsen N. Rd., Zhongshan Dist.",02-25641372,9
紅菱閣賓館,HUNGLINGKE HOTEL,"萬華區峨嵋街80,82號","No.80,82, Emei St., Wanhua District",02-23619696,27
明星大飯店,Mingxing Hotel,萬華區成都路21號2至3樓、23號2至3樓、27巷1號2至3樓,"2-3F., No.21, Chengdu Rd., Wanhua Dist.",02-23755227,34
台北北門窩泊旅,Beimen Wow Poshtel,大同區太原路92巷2之1、2之2、2之3、2之4號(1樓至4樓),"1~4F., No.2-1、2-2、2-3、2-4, Ln. 92, Taiyuan Rd., Datong Dist.",02-25525068,19
小公館人文旅舍,NK Hostel,"松山區南京東路五段399號5,8,14樓","5F, No.399, Sec5, Nanjing. E. Rd., Songshan Dist.",02-27690200,20
安庭台北商務旅館,My Hotel,大安區忠孝東路四段197號12樓、12樓之1、12樓之4、12樓之5、12樓之9,"12F, 12F.-1, 12F.-4,12F.-5,12F.-9 ,No.197, Sec.4, Zhongxiao E.Rd, Da’an Dist.",02-27780920,41
日好青旅,GOOD DAY HOSTEL,大同區甘谷街26號6樓,"6F., No. 26, Gangu St., Datong Dist.",02-25558667,11
丰居旅店雙連館,VIA LOFT HOTEL,"中山區民生東路一段42號2,3樓,-1至-5","2,3F.-1-5, No.42, Sec. 1, Minsheng E. Rd., Zhongshan Dist.",02-23112555,47
享住青旅,VIA LOFT HOTEL,中正區館前路8號地下1層,"2,3F.-1-5, No.42, Sec. 1, Minsheng E. Rd., Zhongshan Dist.",0970-939898,7
聖雄商旅,Hermit dorm,松山區基隆路一段8號、10號17至18樓,"17F-18F., No.8,N.10, Sec. 1, Keelung Rd., Songshan Dist.",02-27600920,37
台北馥敦飯店復南館,Taipei Fullerton Hotel - south,大安區復興南路二段41號,"No.41, Sec. 2, Fusing S. Rd., Da-an District",02-27031234,95
